Compiled shader: Skybox/Procedural, pass: <unnamed>, stage: vertex, keywords _SUNDISK_SIMPLE
Compiled shader: Skybox/Procedural, pass: <unnamed>, stage: fragment, keywords _SUNDISK_SIMPLE
Compiled shader: Hidden/BlitCopy, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/BlitCopy, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/Internal-GUITexture, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/Internal-GUITexture, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Hidden/VideoDecode, pass: YCbCr_To_RGB1, stage: vertex, keywords ADJUST_TO_LINEARSPACE
Compiled shader: Hidden/VideoDecode, pass: YCbCr_To_RGB1, stage: fragment, keywords ADJUST_TO_LINEARSPACE
Compiled shader: Hidden/VideoComposite, pass: Default, stage: vertex, keywords <no keywords>
Compiled shader: Hidden/VideoComposite, pass: Default, stage: fragment, keywords <no keywords>
Compiled shader: UI/Default, pass: Default, stage: vertex, keywords <no keywords>
Compiled shader: UI/Default, pass: Default, stage: fragment, keywords <no keywords>
Compiled shader: TextMeshPro/Distance Field, pass: <unnamed>, stage: vertex, keywords <no keywords>
Compiled shader: TextMeshPro/Distance Field, pass: <unnamed>, stage: fragment, keywords <no keywords>
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _SMOOTHNESS_TEXTURE_ALBEDO_CHANNEL_A
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _SMOOTHNESS_TEXTURE_ALBEDO_CHANNEL_A
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords SHADOWS_DEPTH
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords SHADOWS_DEPTH
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _PARALLAXMAP
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _PARALLAXMAP
Compiled shader: Particles/Standard Unlit, pass: ShadowCaster, stage: vertex, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Particles/Standard Unlit, pass: ShadowCaster, stage: fragment, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON
Compiled shader: Legacy Shaders/VertexLit, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Legacy Shaders/VertexLit, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: MID/LETT/Standard_No_Depth, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON
Compiled shader: MID/LETT/Standard_No_Depth, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON
Compiled shader: Standard (Specular setup), pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Standard (Specular setup), pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _METALLICGLOSSMAP
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _METALLICGLOSSMAP
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON _METALLICGLOSSMAP
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON _METALLICGLOSSMAP
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHATEST_ON _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _METALLICGLOSSMAP _PARALLAXMAP
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _METALLICGLOSSMAP _PARALLAXMAP
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Standard (Specular setup), pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON
Compiled shader: Standard (Specular setup), pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON
Compiled shader: Standard, pass: ShadowCaster, stage: vertex, keywords SHADOWS_CUBE _METALLICGLOSSMAP
Compiled shader: Standard, pass: ShadowCaster, stage: fragment, keywords SHADOWS_CUBE _METALLICGLOSSMAP
Compiled shader: NatureManufacture Shaders/Trees/Tree Bark Metalic, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _DETALUSEUV3_ON
Compiled shader: NatureManufacture Shaders/Trees/Tree Bark Metalic, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _DETALUSEUV3_ON
Compiled shader: Particles/Standard Unlit, pass: ShadowCaster, stage: vertex, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON _COLOROVERLAY_ON
Compiled shader: Particles/Standard Unlit, pass: ShadowCaster, stage: fragment, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON _COLOROVERLAY_ON
Compiled shader: NatureManufacture Shaders/Trees/Cross Model Shader, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NatureManufacture Shaders/Trees/Cross Model Shader, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: Standard (Specular setup), pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _SMOOTHNESS_TEXTURE_ALBEDO_CHANNEL_A _SPECGLOSSMAP
Compiled shader: Standard (Specular setup), pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _SMOOTHNESS_TEXTURE_ALBEDO_CHANNEL_A _SPECGLOSSMAP
Compiled shader: Standard (Specular setup), pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _SPECGLOSSMAP
Compiled shader: Standard (Specular setup), pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _SPECGLOSSMAP
Compiled shader: Hidden/Nature/Tree Creator Bark Optimized, pass: ShadowCaster, stage: vertex, keywords SHADOWS_DEPTH
Compiled shader: Hidden/Nature/Tree Creator Bark Optimized, pass: ShadowCaster, stage: fragment, keywords SHADOWS_DEPTH
Compiled shader: Particles/Standard Surface, pass: ShadowCaster, stage: vertex, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Particles/Standard Surface, pass: ShadowCaster, stage: fragment, keywords PROCEDURAL_INSTANCING_ON SHADOWS_CUBE _ALPHABLEND_ON
Compiled shader: Nature/SpeedTree, pass: <unnamed>, stage: vertex, keywords GEOM_TYPE_LEAF INSTANCING_ON LOD_FADE_PERCENTAGE SHADOWS_CUBE
Compiled shader: Nature/SpeedTree, pass: <unnamed>, stage: fragment, keywords GEOM_TYPE_LEAF INSTANCING_ON SHADOWS_CUBE
Compiled shader: Autodesk Interactive, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON _METALLICGLOSSMAP
Compiled shader: Autodesk Interactive, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON _METALLICGLOSSMAP
Compiled shader: NatureManufacture Shaders/Trees/Tree_Leaves_Specular, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NatureManufacture Shaders/Trees/Tree_Leaves_Specular, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_DEPTH
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: vertex, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON
Compiled shader: NDF/Two Sided, pass: ShadowCaster, stage: fragment, keywords INSTANCING_ON SHADOWS_CUBE _ALPHAPREMULTIPLY_ON
